Consumption Category,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
Durable Goods,1707311,1698341,1749352,1755669,1776879,1778824,1788349,1796863,1808297,1801409,1813210,1820411,1835200,1813924,1606760,1427096,1831326,1975356,2006564,2008361,2066003
Nondurable Goods,2963726,2949283,2975588,2991313,2997310,3014418,3024628,3030805,3016226,3028848,3017259,3008558,3021381,3021272,3169119,2755262,2978595,3109915,3134189,3116286,3170807
Services,8438733,8453692,8480075,8484444,8493658,8516703,8526934,8540252,8557164,8574606,8586877,8593081,8623523,8625323,7847102,6893849,7291280,7735606,7839645,7937341,7998378
