Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
    Clothing and footwear,"362,867","366,223","366,605","365,502","371,086","367,592","369,815","369,068","371,609","370,055","370,701","371,003","374,423","378,528","375,824","374,721","374,997","380,833","377,870","380,172","380,889","377,337","372,181","378,133","380,906","375,494","378,556","382,273","381,397","383,871","380,175","383,260","384,392","382,182","391,433","393,304","388,960","391,945","384,938","389,309","399,962","393,348","401,489","403,657","400,371","405,050","412,734","393,461","401,084","399,993","409,044","413,315","415,347","414,290","414,544","411,801","410,180","420,452","414,687","418,890","415,049","411,981","300,782","228,550","320,806","405,004","399,449","391,360","422,625"
    Gasoline and other energy goods,"447,499","453,871","447,199","449,264","447,615","447,812","451,473","450,410","455,183","451,155","447,971","450,406","453,873","457,236","459,014","455,896","454,154","451,547","449,159","449,702","455,180","436,694","449,178","453,208","436,132","447,955","451,508","450,023","455,367","454,635","450,274","451,377","451,090","448,579","444,567","452,476","453,911","434,546","454,445","445,543","449,480","449,985","449,193","446,718","439,524","444,163","448,848","447,256","449,224","446,407","444,301","451,180","443,414","445,628","442,605","449,285","442,372","447,716","444,406","432,630","442,503","442,766","378,640","290,327","348,504","387,079","397,927","402,749","409,887"
    Other nondurable goods,"972,514","970,355","977,237","977,651","983,327","987,669","996,540","1,002,074","1,002,905","1,003,848","1,008,616","1,012,794","1,009,842","1,015,560","1,013,664","1,015,958","1,019,670","1,026,499","1,021,848","1,020,384","1,013,682","1,016,246","1,017,820","1,021,446","1,030,085","1,031,516","1,038,655","1,045,254","1,044,369","1,049,566","1,048,182","1,050,435","1,059,379","1,059,783","1,070,347","1,073,321","1,069,112","1,073,304","1,073,542","1,079,809","1,086,373","1,079,920","1,087,463","1,092,599","1,097,647","1,104,493","1,117,298","1,090,315","1,118,603","1,129,983","1,134,667","1,133,637","1,143,295","1,152,502","1,154,573","1,157,004","1,157,824","1,156,041","1,152,678","1,148,842","1,160,459","1,167,427","1,230,929","1,130,065","1,198,385","1,231,891","1,239,544","1,240,825","1,256,563"
Services,"7,755,874","7,779,487","7,776,782","7,804,551","7,825,825","7,838,804","7,860,096","7,879,443","7,892,800","7,917,548","7,915,003","7,942,283","7,954,696","7,991,429","7,977,063","8,004,130","8,009,459","8,023,379","8,033,975","8,046,608","8,073,390","8,075,923","8,106,954","8,129,880","8,146,648","8,146,234","8,190,249","8,166,550","8,167,765","8,173,618","8,191,926","8,194,297","8,212,778","8,223,305","8,245,238","8,287,006","8,286,690","8,278,893","8,314,092","8,336,607","8,335,704","8,373,285","8,391,225","8,412,650","8,401,330","8,431,519","8,424,301","8,419,382","8,438,733","8,453,692","8,480,075","8,484,444","8,493,658","8,516,703","8,526,934","8,540,252","8,557,164","8,574,606","8,586,877","8,593,081","8,623,523","8,625,323","7,847,102","6,893,849","7,291,280","7,735,606","7,839,645","7,937,341","7,998,378"
  Household consumption expenditures (for services),"7,420,143","7,448,013","7,446,279","7,472,777","7,495,942","7,507,937","7,523,745","7,541,217","7,550,100","7,571,787","7,563,745","7,591,059","7,603,482","7,642,899","7,628,596","7,660,887","7,664,139","7,673,397","7,677,611","7,687,767","7,711,854","7,717,945","7,748,061","7,769,656","7,783,717","7,785,617","7,826,585","7,810,445","7,812,236","7,818,334","7,840,393","7,845,044","7,867,268","7,875,315","7,897,983","7,938,499","7,935,369","7,923,194","7,955,892","7,973,117","7,973,718","8,012,431","8,031,081","8,052,205","8,035,116","8,053,284","8,042,596","8,041,900","8,073,973","8,098,036","8,128,296","8,133,048","8,140,053","8,163,802","8,172,136","8,186,929","8,206,238","8,227,517","8,236,871","8,246,623","8,264,040","8,257,091","7,326,386","6,305,829","6,834,517","7,356,144","7,475,135","7,568,815","7,635,401"
    Housing and utilities,"2,070,265","2,093,123","2,078,484","2,077,050","2,082,994","2,089,509","2,089,508","2,096,479","2,102,003","2,101,238","2,096,254","2,095,057","2,106,866","2,108,656","2,102,083","2,113,518","2,119,449","2,127,926","2,129,644","2,136,716","2,127,643","2,122,326","2,121,076","2,140,745","2,117,845","2,116,169","2,136,594","2,137,317","2,140,712","2,141,640","2,140,586","2,134,444","2,142,714","2,147,148","2,145,479","2,167,308","2,161,936","2,139,681","2,166,811","2,173,183","2,158,735","2,167,330","2,165,236","2,170,630","2,170,344","2,178,265","2,181,383","2,173,493","2,178,994","2,182,344","2,187,565","2,190,601","2,191,706","2,189,021","2,198,654","2,198,190","2,201,639","2,199,334","2,201,703","2,196,137","2,187,599","2,203,462","2,201,071","2,220,375","2,218,527","2,222,948","2,229,298","2,231,176","2,226,623"
    Health care,"1,962,359","1,965,809","1,969,042","1,972,018","1,981,778","1,994,136","2,008,669","2,014,807","2,015,930","2,015,343","2,014,158","2,020,756","2,034,120","2,049,946","2,062,752","2,078,079","2,081,689","2,080,089","2,068,348","2,068,498","2,076,350","2,090,628","2,101,197","2,107,547","2,112,012","2,113,027","2,109,037","2,103,392","2,103,004","2,108,867","2,121,305","2,132,018","2,140,889","2,141,853","2,147,630","2,148,369","2,151,088","2,153,964","2,157,257","2,156,729","2,163,538","2,175,171","2,188,500","2,196,483","2,194,829","2,185,725","2,180,678","2,184,867","2,196,919","2,207,725","2,219,236","2,227,876","2,230,743","2,229,679","2,228,553","2,232,553","2,240,905","2,250,106","2,260,709","2,269,657","2,279,867","2,285,319","1,919,914","1,484,895","1,823,941","2,039,339","2,076,416","2,094,024","2,138,753"
    Transportation services,"379,619","381,014","384,691","386,031","387,995","387,716","389,173","388,302","389,559","392,032","393,246","397,398","398,945","401,764","398,595","399,863","401,558","401,376","402,156","402,209","415,199","412,182","413,559","411,254","410,348","408,104","415,165","414,614","413,965","415,297","419,584","421,899","424,800","427,796","429,745","437,757","442,646","440,602","439,278","438,149","436,846","435,617","433,747","433,456","431,237","433,691","430,645","432,423","431,630","434,618","438,233","437,329","438,421","443,666","445,061","448,632","448,374","448,056","448,038","447,429","453,958","454,807","335,685","225,964","267,029","308,878","338,955","346,856","345,113"
    Recreation services,"464,002","461,126","458,822","463,851","466,209","464,134","462,368","463,263","468,579","473,396","476,609","484,802","481,247","482,777","477,089","476,604","474,274","475,050","481,018","479,632","483,391","485,791","486,747","488,272","487,802","486,484","492,860","488,084","487,891","489,371","488,470","484,490","481,942","478,558","482,396","485,785","489,759","497,338","495,829","494,639","492,560","495,545","496,319","500,193","501,257","501,677","497,537","497,993","495,606","498,628","504,173","502,544","502,978","506,931","502,268","502,362","503,068","506,165","505,979","507,849","510,018","505,231","357,774","196,194","221,598","320,282","328,078","339,579","360,549"
    Food services and accommodations,"761,245","760,685","764,034","770,512","772,896","774,513","772,783","776,724","775,580","778,940","779,847","790,837","779,359","790,835","788,736","791,583","788,613","786,306","788,004","790,038","794,919","792,317","803,638","788,874","810,131","807,888","809,632","806,807","807,002","804,604","808,749","807,723","810,864","809,028","816,671","818,826","820,217","823,249","825,885","820,329","829,029","839,557","846,122","845,381","834,458","839,720","835,119","832,256","829,155","833,445","835,580","836,343","842,151","847,534","848,923","845,630","846,690","847,356","841,821","851,715","851,816","844,972","616,095","400,895","509,478","632,037","653,471","693,058","699,799"
    Financial services and insurance,"831,154","836,302","839,702","841,904","842,040","840,137","837,023","837,950","834,156","840,850","836,732","835,031","828,573","825,358","818,107","816,012","815,617","817,081","818,350","819,040","823,070","819,596","824,475","825,548","829,726","834,588","837,891","836,177","835,535","836,319","840,227","841,197","841,856","838,815","841,909","841,734","839,601","840,243","835,938","836,396","836,847","838,809","839,593","842,109","840,546","844,355","844,552","844,100","853,839","852,267","855,231","852,196","854,051","854,820","854,013","859,755","860,940","865,122","867,124","865,099","861,128","861,605","861,349","852,925","855,367","868,663","868,688","869,328","871,662"
    Other services,"954,048","951,983","953,668","963,752","964,671","960,762","968,101","967,541","968,536","973,983","971,255","972,059","980,447","990,688","989,425","994,219","992,077","994,448","998,474","999,815","1,000,294","1,005,333","1,007,598","1,017,829","1,026,625","1,029,734","1,035,310","1,033,755","1,033,736","1,032,033","1,031,629","1,034,319","1,035,566","1,044,461","1,046,616","1,051,319","1,043,257","1,041,855","1,048,855","1,068,392","1,071,655","1,076,124","1,077,988","1,080,457","1,078,968","1,085,408","1,087,686","1,092,852","1,103,484","1,105,829","1,105,475","1,104,122","1,097,363","1,110,697","1,113,036","1,118,127","1,123,505","1,130,796","1,131,243","1,129,447","1,143,964","1,124,538","1,014,424","854,682","896,923","941,355","963,602","980,646","981,098"
  Final consumption expenditures of nonprofit institutions serving households (NPISHs)\1\,"336,086","331,977","331,032","332,306","330,495","331,470","336,820","338,668","343,029","346,029","351,346","351,349","351,354","348,823","348,731","343,740","345,740","350,253","356,423","358,815","361,440","358,023","358,948","360,252","362,848","360,641","363,610","356,393","355,843","355,622","352,103","349,944","346,439","348,804","348,140","349,414","352,093","356,245","358,698","363,795","362,350","361,344","360,695","361,021","366,512","378,052","381,335","377,302","365,229","356,564","352,919","352,581","354,709","354,100","355,907","354,549","352,339","348,774","351,555","348,205","360,650","368,957","510,872","573,859","450,265","376,902","362,574","366,527","361,339"
    Gross output of nonprofit institutions\2\,"1,294,745","1,292,938","1,292,235","1,292,054","1,290,732","1,291,316","1,295,261","1,295,121","1,298,969","1,306,867","1,313,234","1,317,019","1,321,746","1,326,582","1,333,296","1,339,472","1,345,391","1,349,635","1,350,374","1,352,917","1,359,574","1,363,665","1,369,530","1,372,812","1,375,468","1,371,375","1,369,920","1,357,432","1,355,343","1,358,002","1,362,406","1,367,121","1,370,560","1,372,703","1,374,217","1,371,861","1,370,913","1,374,269","1,380,460","1,391,472","1,396,979","1,404,594","1,411,484","1,414,272","1,413,642","1,413,403","1,412,555","1,414,068","1,417,650","1,418,792","1,421,069","1,418,414","1,417,947","1,413,861","1,414,667","1,414,787","1,416,380","1,416,345","1,424,391","1,425,605","1,429,853","1,430,212","1,386,369","1,332,650","1,336,976","1,345,488","1,351,078","1,362,737","1,364,832"
    Less: Receipts from sales of goods and services by nonprofit institutions\3\,"959,234","961,689","961,967","960,468","961,017","960,594","959,012","956,950","956,296","961,151","962,021","965,842","970,612","978,174","985,074","996,604","1,000,487","1,000,023","994,254","994,292","998,262","1,006,044","1,011,021","1,012,962","1,012,878","1,011,071","1,006,370","1,001,400","999,856","1,002,814","1,011,104","1,018,247","1,025,548","1,025,170","1,027,417","1,023,642","1,019,798","1,018,760","1,022,435","1,028,192","1,035,351","1,044,200","1,051,916","1,054,407","1,047,867","1,035,213","1,030,800","1,036,696","1,053,376","1,063,850","1,070,098","1,067,776","1,065,010","1,061,494","1,060,338","1,061,939","1,065,989","1,069,848","1,075,054","1,079,928","1,070,754","1,062,101","863,016","742,291","879,527","966,067","986,594","994,065","1,001,640"
Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  PCE excluding food and energy\4\,"10,221,006","10,228,435","10,278,983","10,318,466","10,354,647","10,368,004","10,414,042","10,445,466","10,453,097","10,476,707","10,505,160","10,545,726","10,544,908","10,615,908","10,598,154","10,618,300","10,632,824","10,676,217","10,688,606","10,699,870","10,744,147","10,758,693","10,781,889","10,828,294","10,872,818","10,874,952","10,914,586","10,910,751","10,911,134","10,938,418","10,964,320","10,976,464","11,029,957","11,041,478","11,104,551","11,139,784","11,132,121","11,162,582","11,172,593","11,207,897","11,253,732","11,269,407","11,310,043","11,345,775","11,334,959","11,380,329","11,412,398","11,323,788","11,396,338","11,414,016","11,491,269","11,502,920","11,541,260","11,579,941","11,591,767","11,614,743","11,638,738","11,663,514","11,676,616","11,696,623","11,759,140","11,733,435","10,723,205","9,407,236","10,276,173","10,953,017","11,084,500","11,183,664","11,339,255"
  Energy goods and services\5\,"667,944","697,252","665,943","659,082","658,987","661,548","660,144","663,853","671,048","662,586","648,944","645,285","661,512","663,012","650,432","662,009","666,087","672,841","670,540","678,787","667,189","641,773","647,497","676,588","627,464","632,992","662,604","660,676","668,178","667,062","659,866","650,087","659,991","662,643","655,345","690,364","682,452","633,836","686,612","686,238","668,403","678,175","672,005","674,349","664,992","677,523","683,257","667,893","673,647","672,335","674,231","681,161","672,703","668,041","676,417","679,065","675,646","674,514","672,569","651,848","645,425","665,414","604,129","565,271","603,821","637,818","653,635","657,598","652,970"
  Market-based PCE\6\,"10,417,131","10,448,496","10,476,750","10,496,487","10,539,390","10,566,088","10,601,916","10,637,305","10,645,656","10,639,644","10,665,444","10,711,251","10,734,390","10,804,713","10,790,410","10,828,834","10,856,938","10,900,976","10,893,528","10,914,604","10,947,656","10,953,206","10,978,803","11,030,983","11,032,729","11,035,805","11,092,282","11,107,321","11,111,946","11,142,531","11,156,858","11,169,806","11,242,328","11,257,936","11,317,686","11,386,233","11,370,715","11,357,404","11,405,299","11,420,326","11,462,049","11,471,308","11,509,086","11,543,891","11,523,595","11,564,988","11,599,708","11,485,326","11,580,098","11,586,000","11,674,682","11,702,576","11,738,446","11,764,356","11,798,686","11,824,074","11,837,027","11,854,689","11,862,347","11,877,492","11,912,067","11,911,139","10,945,243","9,375,122","10,442,987","11,167,247","11,340,051","11,417,995","11,567,084"
  Market-based PCE excluding food and energy\6\,"8,871,734","8,878,644","8,927,325","8,953,955","8,995,548","9,019,018","9,053,008","9,086,966","9,086,166","9,095,107","9,121,867","9,164,247","9,174,737","9,237,296","9,234,222","9,256,263","9,273,360","9,307,686","9,303,781","9,316,965","9,355,657","9,374,540","9,395,481","9,423,691","9,455,426","9,455,518","9,483,809","9,499,225","9,499,680","9,525,529","9,547,254","9,561,914","9,618,688","9,631,205","9,692,493","9,723,215","9,717,830","9,743,680","9,745,647","9,764,119","9,808,129","9,819,712","9,857,178","9,888,335","9,875,341","9,902,009","9,926,567","9,841,070","9,912,434","9,940,408","10,013,486","10,028,776","10,071,054","10,094,191","10,112,191","10,133,961","10,157,179","10,175,034","10,183,956","10,214,902","10,256,394","10,243,513","9,131,574","7,787,512","8,782,955","9,475,451","9,620,283","9,706,529","9,852,238"
Personal consumption expenditures by major function (From NIPA table 2.5.x):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Personal consumption expenditures,"11,767,040","11,798,728","11,829,060","11,861,873","11,899,272","11,915,706","11,963,717","11,996,510","12,013,327","12,022,367","12,049,883","12,093,803","12,105,271","12,184,064","12,154,945","12,191,213","12,216,541","12,269,673","12,278,873","12,297,874","12,336,690","12,338,019","12,365,828","12,436,150","12,451,338","12,456,426","12,524,018","12,519,462","12,523,935","12,555,894","12,574,606","12,585,026","12,653,955","12,668,506","12,730,129","12,802,590","12,784,949","12,777,083","12,832,264","12,864,499","12,908,159","12,921,637","12,962,679","13,002,104","12,984,158","13,044,270","13,086,446","12,969,430","13,065,002","13,060,892","13,153,564","13,177,506","13,209,567","13,251,261","13,278,974","13,305,532","13,319,540","13,344,260","13,356,203","13,360,598","13,416,701","13,402,409","12,536,109","10,999,339","11,936,742","12,644,667","12,803,334","12,894,716","13,053,929"
Household consumption expenditures\7\,"11,431,952","11,468,070","11,499,471","11,531,004","11,570,407","11,585,840","11,628,247","11,659,140","11,671,330","11,677,174","11,699,036","11,743,043","11,754,518","11,836,243","11,807,137","11,848,918","11,872,123","11,920,475","11,922,976","11,939,396","11,975,429","11,980,490","12,007,343","12,076,417","12,088,756","12,096,288","12,160,774","12,164,232","12,169,322","12,201,630","12,224,326","12,237,189","12,310,269","12,322,223","12,384,783","12,456,069","12,435,401","12,422,899","12,475,534","12,502,212","12,547,616","12,562,259","12,604,157","12,643,344","12,619,215","12,666,647","12,705,272","12,592,333","12,701,798","12,707,368","12,804,449","12,828,876","12,858,662","12,901,203","12,926,955","12,955,159","12,971,746","13,000,641","13,009,458","13,017,672","13,059,975","13,036,249","12,003,893","10,389,855","11,472,364","12,265,874","12,441,086","12,528,258","12,693,946"
  Food and beverages purchased for off-premises consumption,"879,429","880,382","884,258","882,702","883,590","884,369","886,810","884,787","888,291","880,045","888,865","894,149","894,573","899,805","897,300","905,013","912,669","916,691","914,802","916,423","918,607","924,033","924,014","925,182","932,705","931,121","935,855","936,838","935,383","940,604","938,226","943,809","951,003","951,956","955,322","964,250","960,371","961,063","963,382","959,903","971,905","960,998","966,010","967,293","968,107","972,076","977,284","961,917","979,984","957,906","971,007","977,905","977,712","984,006","993,578","994,712","986,470","986,837","986,964","987,425","984,969","981,102","1,201,697","1,028,276","1,050,767","1,043,761","1,058,238","1,045,782","1,049,660"
"  Clothing, footwear, and related services","377,316","380,607","380,954","379,842","385,422","381,961","384,221","383,484","385,989","384,375","384,987","385,295","388,745","392,843","390,118","388,952","389,153","394,884","391,840","394,070","394,752","391,213","386,100","392,078","394,918","389,561","392,601","396,248","395,370","397,873","394,284","397,406","398,550","396,334","405,595","407,591","403,481","406,482","399,363","403,386","413,830","407,265","415,549","417,804","414,547","419,113","426,635","407,346","414,745","413,594","422,625","427,019","429,085","427,980","428,067","425,242","423,588","433,790","428,088","432,262","429,085","426,448","312,536","237,496","330,506","415,928","411,302","403,362","434,286"
"  Housing, utilities, and fuels","2,099,713","2,126,668","2,107,353","2,104,964","2,109,891","2,116,666","2,116,894","2,124,081","2,130,064","2,129,107","2,121,953","2,120,695","2,135,467","2,137,793","2,128,732","2,142,159","2,148,046","2,155,801","2,157,233","2,164,206","2,154,657","2,149,274","2,147,429","2,168,261","2,143,974","2,142,528","2,163,560","2,164,382","2,168,786","2,169,400","2,168,378","2,162,070","2,169,903","2,173,446","2,172,943","2,196,094","2,192,038","2,165,474","2,192,955","2,201,375","2,185,828","2,193,565","2,191,973","2,196,697","2,196,396","2,204,522","2,207,407","2,199,857","2,205,978","2,209,076","2,214,754","2,216,896","2,217,835","2,215,694","2,225,142","2,224,647","2,227,656","2,225,045","2,228,532","2,221,263","2,211,756","2,228,925","2,227,356","2,248,551","2,248,087","2,251,418","2,257,445","2,259,018","2,255,502"
"  Furnishings, household equipment, and routine household maintenance","512,143","508,391","516,294","515,221","521,518","520,002","526,365","529,706","531,275","531,262","535,129","540,590","538,627","543,906","544,587","546,088","548,675","556,817","555,005","556,767","559,679","557,823","560,920","564,857","569,381","569,576","572,386","576,564","577,044","582,993","585,821","589,880","595,508","596,725","608,582","612,919","606,842","612,080","614,638","614,906","621,844","621,870","624,092","627,729","627,222","625,688","634,120","612,546","626,546","623,008","626,671","635,627","638,743","638,985","641,377","647,066","643,852","648,081","648,386","648,336","653,291","650,908","633,902","553,440","642,866","686,459","685,954","680,512","688,037"
  Health,"2,430,310","2,430,317","2,437,494","2,440,816","2,453,177","2,469,246","2,488,782","2,498,516","2,497,504","2,501,697","2,501,686","2,509,352","2,519,166","2,537,745","2,546,712","2,560,910","2,566,563","2,567,110","2,549,908","2,549,683","2,553,317","2,567,439","2,580,892","2,589,633","2,596,127","2,599,081","2,598,178","2,598,268","2,597,025","2,603,319","2,613,700","2,621,930","2,637,136","2,640,492","2,646,816","2,647,313","2,647,004","2,651,950","2,655,565","2,659,140","2,665,733","2,675,328","2,696,103","2,705,354","2,706,729","2,702,948","2,701,891","2,702,978","2,723,895","2,742,854","2,758,824","2,761,199","2,770,039","2,774,004","2,775,783","2,781,587","2,792,836","2,798,739","2,809,932","2,816,695","2,833,516","2,845,927","2,507,931","2,013,971","2,365,462","2,597,468","2,648,368","2,670,317","2,722,020"
