Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
        Film and photographic supplies,1182,1172,1160,1185,1190,1205,1201,1206,1249,1242,1232,1236,1223,1232,1227,1212,1216,1214,1220,1229,1172,1168,1153,1163,1175,1179,1201,1229,1224,1226,1222,1228,1235,1234,1264,1265,1268,1290,1288,1299,1300,1349,1351,1321,1317,1310,1333,1294,1364,1503,1515,1368,1356,1370,1358,1327,1326,1348,1336,1333,1295,1291,1244,1131,1151,1232,1322,1333,1340
      Household supplies (parts of 32 and 36),130908,130423,131580,130980,132043,131766,132976,133664,134330,134461,134871,135145,135225,136015,136975,137864,138841,140308,138932,139329,139159,139751,140243,142236,143439,142326,142927,143676,144961,147374,147045,148299,148439,147348,152270,152291,149270,150041,150545,150879,154194,151773,152204,152987,152741,151940,156135,149591,152923,153381,153382,155745,156955,158593,159139,159520,158202,159422,159824,159414,158232,158010,171023,151843,165648,169336,167789,167318,170592
        Household cleaning products,36698,36301,36282,35978,36021,36172,36323,36534,36737,36618,36847,36853,36833,37060,36852,37320,37185,37210,37093,37366,37229,37360,37361,37205,37899,37837,38135,37992,37952,38521,38806,39119,39664,39278,39582,39593,39996,39974,39672,39270,39972,39296,39505,39635,39557,39654,40135,39173,39808,39000,39233,39404,39403,39517,39833,39976,39676,39837,39746,39571,39791,40017,46227,40557,42437,42594,41637,41494,41810
        Household paper products,36414,36067,36221,35835,36243,36405,36509,36564,36781,36539,36570,36730,36518,36914,36637,36949,37165,37337,37230,37019,36675,37236,37104,36921,37697,37324,37692,37629,37337,37726,37785,37989,38273,38301,38830,38859,38666,38577,38820,38520,39647,39002,38684,38713,38859,39054,38820,37656,38486,38043,37969,38330,38133,38033,38614,38772,38374,38328,37732,37652,38042,37937,44706,37601,39052,39452,37998,37965,39656
        Household linens,41471,41486,42591,42450,42927,42092,42803,43223,43234,43720,43795,43635,43545,43649,45025,44907,45587,46673,45277,45675,45647,45371,46102,48217,47460,46417,46215,46802,48676,50195,49258,49935,48677,48172,51163,50925,48119,48598,49152,50263,51577,50756,51225,51482,50682,49427,52798,51211,50275,52134,52048,53455,53907,55545,55025,54317,53697,54748,56545,56232,53555,52812,50236,42161,51225,54864,56319,56326,56894
        Sewing items,1737,1729,1714,1692,1710,1723,1688,1719,1716,1645,1669,1646,1671,1702,1704,1791,1776,1825,1751,1753,1856,1740,1675,1694,1822,1802,1882,1949,1982,1977,1920,1889,1951,1892,1922,1947,1838,1881,1928,1931,1945,1851,1868,1931,1903,1874,1863,1717,1777,1744,1689,1762,1810,1785,1764,1827,1843,1860,1805,1838,1836,1834,1755,1490,2008,2337,2223,1904,2040
        Miscellaneous household products,14689,14958,14967,15224,15351,15503,15817,15816,16033,16165,16212,16471,16839,16848,17059,17146,17427,17663,17835,17816,18067,18271,18310,18785,18945,19236,19230,19587,19553,19640,19809,19957,20239,20026,21362,21512,20892,21292,21303,21396,21595,21401,21531,21841,22207,22215,23203,20611,22977,23197,23177,23666,24610,24898,24911,25455,25403,25597,25368,25447,25758,26018,27188,28790,30868,30593,30667,30730,31106
      Personal care products (part of 118),121660,121557,122649,122572,123422,124315,125497,126247,126017,125461,126318,127111,126553,127915,127448,127683,128262,129996,128979,129179,128786,128492,128884,129232,130129,129906,131149,132067,131892,132431,133061,134668,134352,133846,134986,136192,135375,135588,135462,136654,139188,138081,138313,138802,138742,140029,143136,136554,141261,141584,142866,142976,144518,145241,144750,144381,144566,144978,144228,145195,146151,144464,148974,130774,143136,150329,153866,153302,156115
        Hair dental shaving and miscellaneous personal care products except electrical products,68256,67761,68382,68294,68689,69369,69869,70388,70819,70207,70676,71216,70776,71225,71103,71191,71709,72344,71842,71914,71472,71289,71443,71605,72175,71536,72078,73178,72868,73228,73341,74586,74170,73902,74794,75366,74966,74442,74387,75123,76648,75504,75779,75879,75550,76150,77595,74637,76378,76206,77109,76955,77276,77755,77542,77648,77703,77575,76797,77037,77612,76724,83456,73333,77951,81100,82083,81309,82306
        Cosmetic / perfumes / bath / nail preparations and implements,45634,46092,46464,46453,46849,47042,47650,47831,47136,47224,47556,47746,47639,48538,48176,48356,48328,49313,48834,48909,48945,48764,49006,49140,49317,49818,50423,50066,50181,50299,50799,51012,51140,50977,51001,51518,51158,51903,51829,52150,53043,53175,53064,53449,53698,54327,55735,52711,55225,55691,56000,56205,57360,57518,57244,56709,56859,57414,57563,58299,58502,57799,55158,47674,54279,57943,60614,60911,62634
        Electric appliances for personal care,7767,7698,7798,7822,7881,7900,7973,8023,8060,8027,8083,8148,8136,8147,8165,8133,8223,8333,8299,8352,8363,8434,8429,8480,8631,8541,8639,8817,8835,8897,8911,9064,9035,8959,9189,9305,9249,9232,9235,9373,9489,9387,9456,9460,9481,9540,9795,9192,9649,9681,9748,9809,9887,9969,9963,10017,9998,9989,9879,9883,10057,9963,10223,9608,10812,11225,11176,11119,11249
      Tobacco (127),86978,86681,86546,86871,86428,85896,85892,85903,85875,85615,85552,86061,86257,85885,85740,85430,84449,84651,84889,84423,84160,84075,84229,83396,83029,84114,83782,81063,80318,80258,80293,80452,80439,80164,80595,80093,78880,79642,80403,79795,80089,80224,79823,79435,79316,78515,78440,78399,78345,77777,76356,76414,76836,76713,76422,76261,75758,75170,74817,74907,74734,74105,74144,75486,76160,76651,76431,76224,75988
      Magazines newspapers and stationery (part of 90),53750,54146,54529,54621,53841,54301,54456,54786,55420,55322,55832,56617,57291,57304,57280,57961,58237,58979,59291,60147,58927,59957,59200,59162,60495,60117,60719,61437,61031,61517,62196,63066,62685,63299,64429,65873,65743,66350,65335,65716,66015,65678,65392,66207,67716,67790,69188,63191,67765,69692,69362,69899,70488,70774,70661,69792,70223,69071,68012,68040,67743,69113,72177,73912,80280,79169,79863,80337,81905
        Newspapers and periodicals,29945,30350,30267,30313,29791,30082,30131,30319,30676,30735,31104,31646,32314,32329,32312,32844,33038,33607,33795,34320,33690,34628,34360,34224,34969,34757,35100,35451,35181,35535,36177,36662,36553,37497,38133,39026,38848,39286,38359,38724,38897,38826,38374,38590,39707,38929,40141,36049,39504,41518,41122,41364,41514,41831,41787,41488,42160,41358,40516,40966,40486,41598,43621,48090,52008,49942,49489,49071,50143
        Stationery and miscellaneous printed materials,23888,23851,24365,24412,24170,24333,24446,24589,24865,24688,24812,25037,24987,24983,24978,25099,25174,25317,25439,25763,25160,25177,24657,24780,25370,25204,25463,25843,25717,25827,25796,26182,25877,25413,25901,26428,26492,26635,26634,26609,26734,26438,26682,27355,27669,28800,28837,27183,28004,27614,27751,28074,28584,28502,28428,27787,27399,27099,26967,26393,26683,26827,27775,23865,26220,27652,29142,30359,30793
      Net expenditures abroad by U.S. residents (131),7619,7728,7615,7297,7267,7480,7928,8112,8033,7715,7537,7495,7596,7523,7308,6956,6916,7184,7738,7816,7402,6470,5871,5645,5797,5986,6225,6522,6691,6737,6640,6627,6704,6842,7097,7441,7877,8310,8743,9215,9546,9725,9741,9746,9737,9721,9766,9883,10077,10207,10263,10244,10255,10301,10388,10434,10446,10426,10384,10323,10339,10308,10214,10062,9975,9948,9814,9734,9697
        Expenditures abroad by U.S. residents,9893,9777,9632,9467,9432,9522,9734,9788,9685,9421,9305,9338,9521,9479,9219,8754,8656,8910,9516,9604,9165,8173,7580,7412,7675,7818,7842,7751,7806,8001,8324,8550,8691,8753,8909,9153,9477,9883,10382,10991,11337,11411,11207,11142,11218,11438,11558,11575,11491,11456,11471,11535,11595,11651,11704,11777,11871,11984,12008,11943,11905,11827,11710,11490,11345,11273,11418,11516,11566
          Government employees' expenditures abroad,8535,8387,8236,8088,8066,8165,8381,8430,8313,8027,7898,7930,8124,8094,7846,7394,7303,7560,8163,8242,7788,6773,6167,5994,6263,6410,6438,6348,6416,6635,6990,7233,7375,7425,7581,7840,8189,8606,9102,9693,10024,10086,9872,9797,9862,10070,10182,10196,10113,10081,10100,10170,10234,10291,10341,10409,10494,10597,10628,10588,10544,10520,10517,10469,10437,10422,10542,10624,10666
          Private employees' expenditures abroad,1358,1390,1397,1379,1366,1357,1353,1358,1372,1395,1407,1407,1397,1385,1373,1360,1353,1350,1353,1362,1377,1400,1414,1418,1413,1408,1405,1403,1390,1367,1334,1317,1315,1328,1327,1314,1288,1277,1280,1298,1313,1325,1334,1345,1355,1367,1375,1378,1378,1375,1371,1364,1361,1360,1363,1368,1376,1387,1380,1355,1360,1306,1192,1021,907,850,875,891,899
        Less: Personal remittances in kind to nonresidents,2274,2049,2017,2170,2165,2041,1806,1676,1651,1707,1767,1843,1925,1957,1911,1798,1740,1727,1778,1788,1763,1703,1710,1767,1878,1832,1618,1228,1115,1264,1684,1922,1986,1910,1811,1712,1600,1574,1640,1776,1791,1686,1466,1397,1481,1717,1791,1692,1414,1249,1208,1291,1340,1351,1316,1343,1424,1558,1625,1620,1565,1519,1495,1429,1370,1324,1603,1782,1869
