Consumption Category ,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09
          Fish and seafood,12589,12577,12518,12588,12713,12809,12832,12751,12962,12912,12938,13022,13017,13199,13083,13025,13118,13113,13034,13080,13027,13242,13171,13167,13334,13170,13496,13717,13384,13364,13359,13425,13528,13553,13449,13577,13572,13646,13467,13459,13628,13376,13467,13288,13541,13458,13490,13324,13586,13216,13567,13808,13676,13909,14027,13986,13882,13746,13867,13826,13630,13633,17109,14597,15070,15109,15103,14857,14770
          Milk dairy products and eggs,77506,78241,78412,78823,78984,77597,77024,76460,76676,76843,78066,78665,79455,80083,80412,81734,82668,83689,83456,84048,83835,84180,84461,85157,83766,84199,85701,85858,85918,86653,86327,86706,87593,86734,87139,87918,86868,87033,86887,85529,87076,86425,86942,87105,87638,88105,89055,88178,89712,88129,89066,89515,89484,89969,90692,90802,89287,89444,89189,88958,88590,88048,109224,92285,94312,94746,96189,93489,94164
            Fresh milk,22522,23198,23173,23177,23282,23462,23311,23573,23692,23672,24028,24040,24131,24354,24406,24615,24648,24731,24819,24644,24231,24250,24515,24416,24555,24526,24834,25062,24910,25117,25165,25451,25828,25851,25849,26191,26152,26084,26448,26116,26460,25903,26336,26239,26335,26310,26451,26345,26530,25947,26069,25950,25987,25997,26181,26090,25843,25817,25766,25763,25233,25173,31402,27088,27779,27842,27875,26488,26588
            Processed dairy products,44530,44663,44909,45064,45249,45629,45377,45530,45536,45237,45751,45908,45722,46019,45876,46107,46571,46876,46478,46605,46751,46768,46918,47086,46877,46594,47391,47435,47448,47960,47538,47736,48264,48090,48340,49009,48347,48744,48571,48420,49117,48440,48735,48880,48927,49202,49886,48946,50065,49160,49772,49954,49667,49866,50320,50144,49739,49631,49485,49524,49494,48937,60854,52376,52782,52822,53599,52085,52502
            Eggs,10496,10441,10382,10587,10464,8866,8733,8036,8110,8451,8747,9079,9796,9900,10259,11054,11456,12063,12155,12796,12837,13169,13037,13705,12337,13119,13534,13426,13641,13651,13723,13616,13594,12869,13021,12785,12456,12279,11984,11155,11626,12148,11972,12072,12453,12654,12767,12958,13164,13065,13259,13646,13887,14176,14256,14674,13746,14062,14004,13717,13908,14006,17026,12850,13784,14119,14755,14984,15147
          Fats and oils,21851,21959,22151,21976,22052,22080,22339,22192,22247,21917,22229,22085,22211,22280,22196,22314,22590,22653,22594,22627,22642,22852,23075,22803,23018,22945,22943,22932,22802,22855,22736,22948,23125,23140,23174,23360,23290,23163,23359,23131,23494,23316,23363,23381,23411,23511,23620,23294,23724,23232,23513,23978,23663,23900,24337,24396,24194,24197,24202,24352,24033,24097,30268,26117,26721,26477,26602,26164,26235
          Fresh fruits and vegetables,73549,74278,74982,74762,74723,75412,75981,75262,75139,74542,74701,74499,74050,73722,75035,77101,78066,78371,78223,78407,78608,79417,79310,79970,82240,81385,81251,79516,79748,80332,80308,80941,81444,81485,81841,82808,82459,82891,83807,83324,83937,82890,82737,83048,83275,84162,83962,81332,83285,81046,81457,82412,83093,84110,84757,84883,84974,84823,85240,85618,85193,85144,106379,92262,93807,92650,92934,91172,91742
            Fruit (fresh),33342,33496,34305,34033,33938,34128,34267,33878,33919,33603,33684,33656,33797,33371,33924,34696,34801,34948,34944,34894,34850,35158,34976,35300,36130,36237,36006,35900,36003,35990,35748,36138,36244,36358,36229,36772,36413,36544,37170,36801,37221,36651,36649,36971,37148,37997,38157,37138,37707,36950,37357,37728,38078,38440,38949,39226,39278,39021,39349,39217,39759,39716,49421,42821,43849,43723,43801,42467,43055
            Vegetables (fresh),40205,40782,40682,40731,40786,41284,41714,41385,41220,40939,41017,40842,40254,40348,41108,42402,43266,43424,43279,43516,43765,44268,44348,44683,46131,45151,45254,43615,43744,44342,44565,44806,45205,45130,45623,46042,46058,46362,46643,46534,46722,46248,46095,46078,46127,46160,45802,44194,45575,44097,44106,44689,45022,45675,45819,45675,45715,45814,45909,46408,45473,45466,56995,49470,50004,49001,49203,48742,48744
          Processed fruits and vegetables,27093,27050,27179,26951,26881,27046,27025,27066,27180,27284,27407,27572,27542,27750,27639,27582,28010,28112,27868,28138,28271,28266,28099,28184,28702,28849,28872,29080,29207,29282,29400,29508,29813,29828,29947,30423,30168,30159,30344,29940,30503,30266,30538,30250,30265,30422,30677,30071,30991,29927,30011,30430,30456,30551,30996,31034,30746,30591,30527,30499,30639,30674,38355,32704,33378,32978,33136,32600,32502
          Sugar and sweets,42244,41752,42169,42503,42020,42330,42399,42161,42276,42187,42731,42965,43095,43463,43117,43343,43784,43878,43820,43745,43621,44290,44155,44273,44447,44534,44757,44862,44727,44925,44730,45075,45586,45730,45860,46281,45662,45829,45887,46257,47016,46430,47032,47346,46808,47233,47619,47142,47493,46588,46787,47761,47776,47296,47721,47710,46768,47024,46936,47554,46298,46657,55010,46998,47971,48736,49524,48475,48231
